df,token
6,000
11,0000
4,00000
2,000000
10,0000000
2,00000000
5,00003
24,00004
2,00009
18,00012
9,00013
42,00016
10,00019
24,00020
14,00021
3,00024
4,00042
7,00046
6,00049
2,00076
2,00077
3,00083
24,001
2,0011
3,00118
2,00153
3,00184
39,002
2,00204
3,0023
2,00231
3,00232
2,0027
4,002c
60,003
2,00322
2,003a
5,003b
65,004
2,004a
26,005
3,00505
2,00506
2,0053
2,005a
5,005a001
3,005c
26,006
3,0061
4,0069
4,006a001
8,007
19,008
2,0087
6,008a
3,009
13,00mm
8,00uhr
2,01080
3,010c
4,011
2,011b
2,012
7,0120
3,0129
3,012b
2,012b0
5,012c
5,013
2,0139
3,013a
6,014
2,0141
2,0143
4,014a
12,014c
29,0151
2,015160159725
2,015160193143
2,015160606293
4,015160744347
16,015160744844
5,015160745384
3,015209098273
3,015b
3,015c
6,016
4,0163
7,01637702809
7,016c
3,016c0
8,017
5,0170
113,0172
18,01723574084
7,017c
4,017c0
2,018
2,018b
2,018c
11,019
6,019a
27,019c
6,019c0
4,"01_692615"
6,01b
3,01c
2,020
2,020a
19,021
2,0213
2,021b
11,021c
13,022
5,0221
2,023
5,0231
2,023a
10,023c
2,023c0
5,024
9,0241
9,024c
4,024c0
3,025
4,025c
13,026
2,0260
23,026a
22,026c
2,026c0
4,027
12,027a
2,027a0
24,027c
9,028
4,029
2,029b
744,"02_q_management"
2,030
2,030b
16,030c
2,0311
5,032
5,0320
2,0321
12,032c
4,033
2,0331
2,033a
13,034
3,034a
2,034c
6,035
5,036
3,036a
5,037
3,037a
13,038
2,039
2,03b
11,03c
3,03c1
8,040
4,040a
4,040a0
16,041
2,041b
4,041c
8,042
6,043
22,044
4,044c
29,045
2,046
3,047
7,047c
7,048
7,048c
7,049
5,049c
4,04a1
2,051
2,0518
19,052
3,052008c
2,052050
2,052a
8,052c
2,054
2,055
2,0551
2,056
4,056c
2,057
15,058
4,058a
12,058c
3,0595
2,0597
2,"05_"
2,05c
3,05c1
2,060
2,06004a1
2,06005c1
3,06007a1
4,06008a1
4,06011a0
2,0602
2,06022c0
2,06026c0
2,06034a0
2,0605
2,06089c0
2,060b
11,060c
11,060c0
3,061
2,0615
4,0618
3,062
6,062c
2,0631
8,0641
2,066
3,067
5,06a1
3,06c1
2,0712
7,071c
2,074
31,075
7,076
2,076c
4,078c
16,078c0
4,078co
2,079
4,0794
4,0795
3,07a1
4,07x
2,081
2,081d198
2,082d121
2,083
2,083h412
2,083h521
2,084
2,0841
2,084h353
2,085
2,085h238
4,086
2,087
2,0876
2,089h072
17,090
2,0900
3,090c0
2,0916
2,092h117
3,093
6,0941
2,094h666
2,095a
6,097a
3,099
5,0ca
9,0cp
7,0min
216,0mm
2,0x11a002
2,0x163
241,100
6,1000
16,100031536
2,1000mbar
2,1000u
2,1001
2,1005
5,100a
34,100b0
28,100km
3,100m
3,100min
10,100n
17,100nm
185,101
2,1017
2,1018
19,101b1
8,102
3,1021
2,1023
2,1029
2,102h533
2,102h678
21,103
2,1033
2,1036
2,1039
2,103h381
6,104
3,1041
3,1044
3,1045
2,104h750
4,105
2,105236596
2,105646
2,1057
4,106
7,106636641
2,1068
2,106a
4,107
2,1074
2,108
3,1081
2,1083
2,1087
2,108d083
2,108d219
8,109
3,1093
4,109a
2,109h404
2,109h431
2,10a
22,10b
4,10cm
830,10m
2,10mal
76,10meter
108,10meterwand
162,10min
2,10ml
8,10mm
17,10x
31,110
4,1100
2,1104
2,110h579
6,110km
7,111
16,1113233996
2,1114
2,111d151
4,112
5,1126
2,1128
7,1129
8,113
2,113867
7,114
2,11424
2,1143
2,1147
2,114mm
16,115
3,1151
23,115968262
5,115a
2,115a0
2,115mm
5,116
4,117
2,1173
2,1176
8,118
2,1189
2,118b
8,119
2,119962340
5,119962368
5,119962391
2,119h851
13,11b
2,11h
4,11std
2,11x
59,120
3,12085
42,120km
2,120min
13,121
3,1212
2,121rg
2,122397588
2,1227
2,122a
2,122h604
6,123
4,1234
4,124
2,124089953
4,1242
9,124202584
5,124695289
10,125
30,125595916
2,125737054
4,125902161
3,125a
7,126
19,1260
7,1261
6,126388848
21,126795440
9,126796400
6,126928516
6,127
2,127273600
7,127492615
57,127723900
5,128
3,128090920
15,128091153
14,128091402
34,128774091
3,129
10,129195923
5,129438258
2,129495
2,1298
7,129857974
60,129942042
13,129942618
29,129943096
2,12a
6,12c
2,12c0
2,12c1
6,12cm
2,12er
2,12mm
147,12v
3,12volt
4,12x
19,130
4,130062524
2,1300u
2,130b
2,131
8,131437831
2,131647
4,131769479
7,131899274
2,131h426
13,132
2,1328
2,132d172
2,132h099
