ErrorCodeDec,ID,adviseText,description,errorText,examples,param1,param2,pruefumfangName,resultName,resultValueStr,testStepName
"-",1,"-","-","Fuellvolumen NIO;","BREMSBEF1;-;Befuellergebnis;-;-;- - NOK;-;Fuellvolumen NIO;;-","-","-",BREMSBEF1,Befuellergebnis,NOK,"-"
"-",10,"-","MESSEN_STAND",NotExecuted,"SPURDIAG;HEADLIGHTAIMING;StandVerificationNOk;MESSEN_STAND;MEASURE_STAND;- - NIO;-;NotExecuted;-\x0A","MEASURE_STAND","-",SPURDIAG,StandVerificationNOk,NIO,HEADLIGHTAIMING
"-",100,"-","Spur vorne rechts","-","ACHSPRFG;-;Spur vorne rechts;Spur vorne rechts;-;- - -;-;-;-\x0A","-","-",ACHSPRFG,"Spur vorne rechts","-","-"
14750820,1000,"-","FS_LESEN_F1","Botschaft (Geschwindigkeit Fahrzeug, 0x1A1) fehlt, Empfänger KOMBI, Sender ICM/DSC","C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMBSP18;FS_LESEN - 14750820 (HEX E1 14 64 27);14750820;Botschaft (Geschwindigkeit Fahrzeug, 0x1A1) fehlt, Empfänger KOMBI, Sender ICM/DSC;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750820 (HEX E1 14 64 0D);14750820;Botschaft (Geschwindigkeit Fahrzeug, 0x1A1) fehlt, Empfänger KOMBI, Sender ICM/DSC;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750820 (HEX E1 14 64 27);14750820;Botschaft (Geschwindigkeit Fahrzeug, 0x1A1) fehlt, Empfänger KOMBI, Sender ICM/DSC;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750820 (HEX E1 14 64 2F);14750820;Botschaft (Geschwindigkeit Fahrzeug, 0x1A1) fehlt, Empfänger KOMBI, Sender ICM/DSC;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750820 (HEX E1 14 64 0D);14750820;Botschaft (Geschwindigkeit Fahrzeug, 0x1A1) fehlt, Empfänger KOMBI, Sender ICM/DSC;-\x0A","*","FS_LESEN","*","F_ORT_NR","14750820 (HEX E1 14 64 *)",KOMBI
"-",10000,"-","EXECUTE_TAL","Aktion: Vorbereitung, Fehlerbeschreibung: Steuergeraete Logistikdaten fehlerhaft. Variante, SW oder ECU Daten falsch. (SG: ECUId:*, fehlende SGBM-ID(s): [*-*], ueberzaehlige SGBM-ID(s): []), (PSdZ ID: 964)","A_DATA;PSDZ;STATUS;EXECUTE_TAL;FZD, Adr.: 0x56, TAIS-Nummer SOLL: 6820169;Codierung - NICHT OKAY;-;Aktion: Vorbereitung, Fehlerbeschreibung: Steuergeraete Logistikdaten fehlerhaft. Variante, SW oder ECU Daten falsch. (SG: ECUId:FZD_0x56, fehlende SGBM-ID(s): [hwel_00001418-001_000_000], ueberzaehlige SGBM-ID(s): []), (PSdZ ID: 964);-\x0A A_DATA;PSDZ;STATUS;EXECUTE_TAL;FZD, Adr.: 0x56, TAIS-Nummer SOLL: 6832443;Codierung - NICHT OKAY;-;Aktion: Vorbereitung, Fehlerbeschreibung: Steuergeraete Logistikdaten fehlerhaft. Variante, SW oder ECU Daten falsch. (SG: ECUId:FZD_0x56, fehlende SGBM-ID(s): [hwel_00001415-001_000_000], ueberzaehlige SGBM-ID(s): []), (PSdZ ID: 964);-\x0A A_DATA;PSDZ;STATUS;EXECUTE_TAL;FZD, Adr.: 0x56, TAIS-Nummer SOLL: 6832445;Codierung - NICHT OKAY;-;Aktion: Vorbereitung, Fehlerbeschreibung: Steuergeraete Logistikdaten fehlerhaft. Variante, SW oder ECU Daten falsch. (SG: ECUId:FZD_0x56, fehlende SGBM-ID(s): [hwel_00001418-001_000_000], ueberzaehlige SGBM-ID(s): []), (PSdZ ID: 964);-\x0A A_DATA;PSDZ;STATUS;EXECUTE_TAL;FZD2, Adr.: 0x56, TAIS-Nummer SOLL: 7945158;Codierung - NICHT OKAY;-;Aktion: Vorbereitung, Fehlerbeschreibung: Steuergeraete Logistikdaten fehlerhaft. Variante, SW oder ECU Daten falsch. (SG: ECUId:FZD2_0x56, fehlende SGBM-ID(s): [hwel_00001d97-005_006_000], ueberzaehlige SGBM-ID(s): []), (PSdZ ID: 964);-\x0A","*, Adr.: 0x56, TAIS-Nummer SOLL: *",Codierung,"A_DATA",STATUS,"NICHT OKAY",PSDZ
14750875,1001,"-","FS_LESEN_F1","Botschaft (Wegstrecke Fahrzeug, 0x2BB) fehlt, Empfänger KOMBI, Sender ICM_QL/DSC","C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMBSP18;FS_LESEN - 14750875 (HEX E1 14 9B 27);14750875;Botschaft (Wegstrecke Fahrzeug, 0x2BB) fehlt, Empfänger KOMBI, Sender ICM_QL/DSC;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750875 (HEX E1 14 9B 0D);14750875;Botschaft (Wegstrecke Fahrzeug, 0x2BB) fehlt, Empfänger KOMBI, Sender ICM_QL/DSC;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750875 (HEX E1 14 9B 27);14750875;Botschaft (Wegstrecke Fahrzeug, 0x2BB) fehlt, Empfänger KOMBI, Sender ICM_QL/DSC;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750875 (HEX E1 14 9B 2F);14750875;Botschaft (Wegstrecke Fahrzeug, 0x2BB) fehlt, Empfänger KOMBI, Sender ICM_QL/DSC;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750875 (HEX E1 14 9B 0D);14750875;Botschaft (Wegstrecke Fahrzeug, 0x2BB) fehlt, Empfänger KOMBI, Sender ICM_QL/DSC;-\x0A","*","FS_LESEN","*","F_ORT_NR","14750875 (HEX E1 14 9B *)",KOMBI
14750904,1002,"-","*","Botschaft (Anzeige Checkcontrol Fahrdynamik Koordiniert, 0x2A7) fehlt, Empfänger KOMBI, Sender DSC / ICMQL","C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMBSP18;FS_LESEN - 14750904 (HEX E1 14 B8 27);14750904;Botschaft (Anzeige Checkcontrol Fahrdynamik Koordiniert, 0x2A7) fehlt, Empfänger KOMBI, Sender DSC / ICMQL;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750904 (HEX E1 14 B8 0D);14750904;Botschaft (Anzeige Checkcontrol Fahrdynamik Koordiniert, 0x2A7) fehlt, Empfänger KOMBI, Sender DSC / ICMQL;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750904 (HEX E1 14 B8 27);14750904;Botschaft (Anzeige Checkcontrol Fahrdynamik Koordiniert, 0x2A7) fehlt, Empfänger KOMBI, Sender DSC / ICMQL;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750904 (HEX E1 14 B8 2F);14750904;Botschaft (Anzeige Checkcontrol Fahrdynamik Koordiniert, 0x2A7) fehlt, Empfänger KOMBI, Sender DSC / ICMQL;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMBSP18;FS_LESEN - 14750904 (HEX E1 14 B8 27);14750904;Botschaft (Anzeige Checkcontrol Fahrdynamik Koordiniert, 0x2A7) fehlt, Empfänger KOMBI, Sender DSC / ICMQL;-\x0A","*","FS_LESEN","*","F_ORT_NR","14750904 (HEX E1 14 B8 *)",KOMBI
14750952,1003,"-","*","Botschaft (Anzeige Check-Control Fahrerassistenzsystem, 0x30D) fehlt, Empfänger KOMBI, Sender ICM_QL/SAS","C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMBSP18;FS_LESEN - 14750952 (HEX E1 14 E8 27);14750952;Botschaft (Anzeige Check-Control Fahrerassistenzsystem, 0x30D) fehlt, Empfänger KOMBI, Sender ICM_QL/SAS;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750952 (HEX E1 14 E8 27);14750952;Botschaft (Anzeige Check-Control Fahrerassistenzsystem, 0x30D) fehlt, Empfänger KOMBI, Sender ICM_QL/SAS;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750952 (HEX E1 14 E8 2F);14750952;Botschaft (Anzeige Check-Control Fahrerassistenzsystem, 0x30D) fehlt, Empfänger KOMBI, Sender ICM_QL/SAS;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMBRDCT;FS_LESEN - 14750952 (HEX E1 14 E8 2F);14750952;Botschaft (Anzeige Check-Control Fahrerassistenzsystem, 0x30D) fehlt, Empfänger KOMBI, Sender ICM_QL/SAS;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMBSP18;FS_LESEN - 14750952 (HEX E1 14 E8 27);14750952;Botschaft (Anzeige Check-Control Fahrerassistenzsystem, 0x30D) fehlt, Empfänger KOMBI, Sender ICM_QL/SAS;-\x0A","*","FS_LESEN","*","F_ORT_NR","14750952 (HEX E1 14 E8 *)",KOMBI
14750980,1004,"-","FS_LESEN_F1","Botschaft (Neigung Fahrbahn, 0x163) fehlt, Empfänger KOMBI, Sender DSC","C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMBSP18;FS_LESEN - 14750980 (HEX E1 15 04 27);14750980;Botschaft (Neigung Fahrbahn, 0x163) fehlt, Empfänger KOMBI, Sender DSC;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750980 (HEX E1 15 04 0D);14750980;Botschaft (Neigung Fahrbahn, 0x163) fehlt, Empfänger KOMBI, Sender DSC;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750980 (HEX E1 15 04 27);14750980;Botschaft (Neigung Fahrbahn, 0x163) fehlt, Empfänger KOMBI, Sender DSC;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750980 (HEX E1 15 04 2F);14750980;Botschaft (Neigung Fahrbahn, 0x163) fehlt, Empfänger KOMBI, Sender DSC;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750980 (HEX E1 15 04 0D);14750980;Botschaft (Neigung Fahrbahn, 0x163) fehlt, Empfänger KOMBI, Sender DSC;-\x0A","*","FS_LESEN","*","F_ORT_NR","14750980 (HEX E1 15 04 *)",KOMBI
14750998,1005,"-","FS_LESEN_F1","Botschaft (Status Fahrzeug Klang , 0x37F) fehlt, Empfänger KOMBI, Sender VSG","C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMBSP18;FS_LESEN - 14750998 (HEX E1 15 16 27);14750998;Botschaft (Status Fahrzeug Klang , 0x37F) fehlt, Empfänger KOMBI, Sender VSG;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750998 (HEX E1 15 16 27);14750998;Botschaft (Status Fahrzeug Klang , 0x37F) fehlt, Empfänger KOMBI, Sender VSG;-\x0A C_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750998 (HEX E1 15 16 2F);14750998;Botschaft (Status Fahrzeug Klang , 0x37F) fehlt, Empfänger KOMBI, Sender VSG;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750998 (HEX E1 15 16 27);14750998;Botschaft (Status Fahrzeug Klang , 0x37F) fehlt, Empfänger KOMBI, Sender VSG;-\x0A F1_DIAGNOSE;KOMBI;F_ORT_NR;FS_LESEN_F1;KOMB_G11;FS_LESEN - 14750998 (HEX E1 15 16 2F);14750998;Botschaft (Status Fahrzeug Klang , 0x37F) fehlt, Empfänger KOMBI, Sender VSG;-\x0A","*","FS_LESEN","*","F_ORT_NR","14750998 (HEX E1 15 16 *)",KOMBI
