host,werk
apdm_live_w00,w00
apdm_live_w01,w01
apdm_live_w02,w02
apdm_live_w03,w03
apdm_live_w06,w06
apdm_live_w07,w07
apdm_live_w09,w09
apdm_live_w10,w10
apdm_live_w30,w30
apdm_live_w34,w34
apdm_live_w50,w50
apdm_live_pnw2,pnw2
ipsq_w00,w00
ipsq_w01,w01
ipsq_w02,w02
ipsq_w03,w03
ipsq_w06,w06
ipsq_w07,w07
ipsq_w09,w09
ipsq_w10,w10
ipsq_w30,w30
ipsq_w34,w34
ipsq_w50,w50
ipsq_pnw2,pnw2
abs_rolle_w00,w00
abs_rolle_w01,w01
abs_rolle_w02,w02
abs_rolle_w03,w03
abs_rolle_w06,w06
abs_rolle_w07,w07
abs_rolle_w09,w09
abs_rolle_w10,w10
abs_rolle_w30,w30
abs_rolle_w34,w34
abs_rolle_w50,w50
abs_rolle_pnw2,pnw2
gw060022.w6,w06
gw010256.europe.bmw.corp,w01
sap-bo_xls-export_muc,w01
/data/sap-bo/reg/NA-Auswertung_EE_Vortag.CSV,w06
/data/sap-bo/catch_up/reg/NA-Auswertung_EE_Vortag.csv,w06
sap-bo://sap-bo_xls-export_catch_up_muc,w01
/data/sap-bo/muc/QREP_aktuell_tgl_NA-Auswertung_EE.CSV,w01
/tmp/sap-bo_samples-muc.csv,w01
/tmp/sap-bo_samples-reg.csv,w06
hfw_muc,w01
hfw_dgf,w02
hfw_reg,w06
hfw_lei,w07
innovationlab02_w01,w01
innovationlab02_w02,w02
innovationlab02_w06,w06
innovationlab02_w07,w07
