resultName,alias_de,alias_en,sortNr,id
Abbruchgrund,Abbruchgrund,Abbruchgrund,1,1
Abschlusspulskraft links,Abschlusspulskraft links,Abschlusspulskraft links,2,2
Abschlusspulskraft rechts,Abschlusspulskraft rechts,Abschlusspulskraft rechts,3,3
Anzahl Einstellungen,Anzahl Einstellungen,Anzahl Einstellungen,4,4
Anzahl Pulsvorgaenge nach Einstellung,Anzahl Pulsvorgaenge nach Einstellung,Anzahl Pulsvorgaenge nach Einstellung,5,5
Anzahl Pulsvorgaenge vor Einstellung,Anzahl Pulsvorgaenge vor Einstellung,Anzahl Pulsvorgaenge vor Einstellung,6,6
Autokorrektur Kontervorhalt Spur links,Autokorrektur Kontervorhalt Spur links,Autokorrektur Kontervorhalt Spur links,7,7
Autokorrektur Kontervorhalt Spur rechts,Autokorrektur Kontervorhalt Spur rechts,Autokorrektur Kontervorhalt Spur rechts,8,8
Autokorrektur Kontervorhalt Sturz links,Autokorrektur Kontervorhalt Sturz links,Autokorrektur Kontervorhalt Sturz links,9,9
Autokorrektur Kontervorhalt Sturz rechts,Autokorrektur Kontervorhalt Sturz rechts,Autokorrektur Kontervorhalt Sturz rechts,10,10
Bewertungskriterium,Bewertungskriterium,Bewertungskriterium,11,11
Drehwinkel Spur links,Drehwinkel Spur links,Drehwinkel Spur links,12,12
Drehwinkel Spur rechts,Drehwinkel Spur rechts,Drehwinkel Spur rechts,13,13
Drehwinkel Sturz links,Drehwinkel Sturz links,Drehwinkel Sturz links,14,14
Drehwinkel Sturz rechts,Drehwinkel Sturz rechts,Drehwinkel Sturz rechts,15,15
Fahrachswinkel bei Nachmessung,Fahrachswinkel bei Nachmessung,Fahrachswinkel bei Nachmessung,16,16
Fahrachswinkel nach Einstellung,Fahrachswinkel nach Einstellung,Fahrachswinkel nach Einstellung,17,17
Fahrachswinkel nach Konterung,Fahrachswinkel nach Konterung,Fahrachswinkel nach Konterung,18,18
Fahrachswinkel nach dem Pulsen,Fahrachswinkel nach dem Pulsen,Fahrachswinkel nach dem Pulsen,19,19
Fahrachswinkel vor dem Pulsen,Fahrachswinkel vor dem Pulsen,Fahrachswinkel vor dem Pulsen,20,20
Gesamtspur bei Nachmessung,Gesamtspur bei Nachmessung,Gesamtspur bei Nachmessung,21,21
Gesamtspur nach Einstellung,Gesamtspur nach Einstellung,Gesamtspur nach Einstellung,22,22
Gesamtspur nach Konterung,Gesamtspur nach Konterung,Gesamtspur nach Konterung,23,23
Gesamtspur nach dem Pulsen,Gesamtspur nach dem Pulsen,Gesamtspur nach dem Pulsen,24,24
Gesamtspur vor dem Pulsen,Gesamtspur vor dem Pulsen,Gesamtspur vor dem Pulsen,25,25
Ist-Federkraft bei Nachmessung,Ist-Federkraft bei Nachmessung,Ist-Federkraft bei Nachmessung,26,26
Ist-Federkraft links nach dem Pulsen,Ist-Federkraft links nach dem Pulsen,Ist-Federkraft links nach dem Pulsen,27,27
Ist-Federkraft nach Einstellung,Ist-Federkraft nach Einstellung,Ist-Federkraft nach Einstellung,28,28
Ist-Federkraft nach Konterung,Ist-Federkraft nach Konterung,Ist-Federkraft nach Konterung,29,29
Ist-Federkraft rechts bei Nachmessung,Ist-Federkraft rechts bei Nachmessung,Ist-Federkraft rechts bei Nachmessung,30,30
Ist-Federkraft rechts nach Einstellung,Ist-Federkraft rechts nach Einstellung,Ist-Federkraft rechts nach Einstellung,31,31
Ist-Federkraft rechts nach Konterung,Ist-Federkraft rechts nach Konterung,Ist-Federkraft rechts nach Konterung,32,32
