Werk,PruefumfangName,PruefumfangGruppe
w01,A_CAS_INIT,A-IBN
w01,A_DATA,A-IBN
w01,A_DIAGNOSE,A-IBN
w01,B_DATA,B-IBN
w01,B_DIAGNOSE,B-IBN
w01,EKS_INIT,B-IBN
w01,B_DATA2,B-IBN
w01,F1_DIAGNOSE,F1-F2
w01,ECOS,F1-F2
w01,INFOTAINMENT,F1-F2
w01,ACHSE,PSL
w01,SPURDIAG,PSL
w01,SCHEINWERFER,PSL
w01,FLS,PSL
w01,MOTEST,PSL
w01,FINISH,FINISH-F2
w01,ABS,PSL
w01,FDP_DIAGNOSE,FINISH-F2
w01,F2_DIAGNOSE,FINISH-F2
w02,A_CAS_INIT,A-IBN
w02,A_DATA,A-IBN
w02,A_DIAGNOSE,A-IBN
w02,B_DATA,B-IBN
w02,B_DIAGNOSE,B-IBN
w02,EKS_INIT,B-IBN
w02,B_DATA2,B-IBN
w02,F1_DIAGNOSE,F1-F2
w02,ECOS,F1-F2
w02,INFOTAINMENT,F1-F2
w02,ACHSE,PSL
w02,SPURDIAG,PSL
w02,SCHEINWERFER,PSL
w02,FLS,PSL
w02,MOTEST,PSL
w02,FINISH,FINISH-F2
w02,ABS,PSL
w02,FDP_DIAGNOSE,FINISH-F2
w02,F2_DIAGNOSE,FINISH-F2
w06,A_CAS_INIT,A-IBN
w06,A_DATA,A-IBN
w06,A_DIAGNOSE,A-IBN
w06,B_DATA,B-IBN
w06,B_DIAGNOSE,B-IBN
w06,EKS_INIT,B-IBN
w06,B_DATA2,B-IBN
w06,F1_DIAGNOSE,F1-F2
w06,ECOS,F1-F2
w06,INFOTAINMENT,F1-F2
w06,ACHSE,PSL
w06,SPURDIAG,PSL
w06,SCHEINWERFER,PSL
w06,FLS,PSL
w06,MOTEST,PSL
w06,FINISH,FINISH-F2
w06,ABS,PSL
w06,FDP_DIAGNOSE,FINISH-F2
w06,F2_DIAGNOSE,FINISH-F2
w07,A_CAS_INIT,A-IBN
w07,A_DATA,A-IBN
w07,A_DIAGNOSE,A-IBN
w07,B_DATA,B-IBN
w07,B_DIAGNOSE,B-IBN
w07,EKS_INIT,B-IBN
w07,B_DATA2,B-IBN
w07,F1_DIAGNOSE,F1-F2
w07,ECOS,F1-F2
w07,INFOTAINMENT,F1-F2
w07,ACHSE,PSL
w07,SPURDIAG,PSL
w07,SCHEINWERFER,PSL
w07,FLS,PSL
w07,MOTEST,PSL
w07,FINISH,FINISH-F2
w07,ABS,PSL
w07,FDP_DIAGNOSE,FINISH-F2
w07,F2_DIAGNOSE,FINISH-F2
