AKZ,"Merkmal_Bez","Merkmal_Nr",werk
ACHSPRFG,"Spur- und Sturzpruefung (CoP-ID: 15.10 / 24.4)",M33308001,w01
"ACHSPRFG_HA","P 73 HA Einstellung",M33308003,w01
ABS,"E/E Pruefg. ABS und DSC (CoP-ID: 15.4 / 9.4)",M34509001,w01
"KEY_INIT_IPSQ","E/E Pruefg. Schluesselinitialisierung",M51221001,w01
"TUER_VL","E/E Pruefg. Tueren LIVO",M61105008,w01
"TUER_VR","E/E Pruefg. Tueren REVO",M61105009,w01
"TUER_HL","E/E Pruefg. Tueren LIHI",M61105010,w01
"TUER_HR","E/E Pruefg. Tueren REHI",M61105011,w01
HOCHVOLTSYSTEM,"E/E Hybrid aktiv",M61315002,w01
"B_DATA","E/E Pruefg. B-Data",M61351010,w01
"EKS_INIT","E/E Pruefg. EKS-Init",M61351011,w01
"B_DATA2","E/E Pruefg. B-Data 2",M61351014,w01
SCHEINWERFERES,"Scheinwerfer-Einst. pruefen (CoP-ID: 7.3)",M63128001,w01
ACCEINSTELLUNG,"E/E Pruefg. ACC",M65719001,w01
FLS,"E/E Pruefg. FLS Fahrerleitsystem (CoP-ID: 15.6 / 31.1)",M65901001,w01
ECOS,"E/E Pruefg. ECOS gesamt (CoP-ID: 12.3 / 15.8 / 33.2 / 33.3)",M92003001,w01
MOTEST,"E/E Pruefg. Motor (CoP-ID: 1.98 / 15.2)",M92005002,w01
FINISH,"E/E Pruefg. Finish",M92005003,w01
FINISH,"E/E Pruefg. Finish (SA 0P1)",M92005004,w01
"FINISH_KPS","E/E Pruefg. Finish Kurzpruefstrecke (KPS)",M92005005,w01
"A_DIAGNOSE","E/E Pruefg. A-Diagnose",M92006003,w01
"B_DIAGNOSE","E/E Pruefg. B-Diagnose",M92006004,w01
"A_DATA","E/E Pruefg. A-Data",M92006011,w01
"B_DIAGNOSE_VOR","E/E Pruefg. B-Diagnose Vorpruefung",M92006012,w01
"A_CAS_INIT","E/E 42 A-CAS Init",M92009002,w01
"F2_DIAGNOSE","E/E Pruefg. F2-Diagnose (Transportmode)",M92009003,w01
"FDP_DIAGNOSE","E/E Pruefg. FDP Diagnose",M92009004,w01
"FH_INIT_RAHMEN","E/E Pruefg. EKS-Init rahmenlose Tuer",M92009005,w01
"FDP_VOR_FAHRT","E/E Pruefg. FDP vor Fahrt",M92009006,w01
SPURDIAG,"E/E Pruefg. Diagnose Spurstand",M92301002,w01
"F1_DIAGNOSE","E/E Pruefg. F1 Diagnose",M92301006,w01
RESET,"E/E Pruefg. Reset",M92301008,w01
INFOTAINMENT,"E/E Pruefg. Audio",M92301009,w01
"FIN_LINE_IS","I-Stufe Finish",M00000010,w02
"ACHS_LIN",Achsmessung,M32208002,w02
"BDP_LINE","Bremsdruckprüfung H52",M34301012,w02
"BDP_LINE","Bremsdruckprüfung H50",M34301013,w02
"ABS_LINE","ABS-Prüfung",M34509001,w02
"B_DATA","DME/EGS Programmierung",M61351003,w02
"B_DATA","B_DATA",M61351004,w02
"NO_ANDORRA","EGS Sperre 8HP Andorra austragen",M61351006,w02
"SCH_LINE",Scheinwerfereinstellung,M63121001,w02
"AUD_LINE","AUDIO-Prüfung",M65101001,w02
"ACC_LINE",ACC,M66311005,w02
"TLC_LINE","TLC / KAFAS - Prüfung",M66510001,w02
"NIVI_LIN","Night Vision",M66541001,w02
"TEL_LINE","Telefonprüfung ungültig",M84101001,w02
"TEL2_LIN","Telefonprüfung in Audio",M84101003,w02
"FLS_LINE","Rollenprüfung",M92002001,w02
"ECOS_LIN","ECOS-Prüfung",M92003001,w02
"FIN_LINE","FINISH CASCADE",M92004001,w02
"F2_DIAGNOSE","F2_DIAGNOSE",M92004002,w02
"TUER_VL","Elektrofunktionsprüfung Tür vo li",M92004003,w02
"TUER_VR","Elektrofunktionsprüfung Tür vo re",M92004004,w02
"TUER_HR","Elektrofunktionsprüfung Tür hi re",M92004005,w02
"TUER_HL","Elektrofunktionsprüfung Tür hi li",M92004006,w02
