CODE,DESCRIPTIONDE
0BV,
0DL,Loggerverbau
100,NUTZLASTERHOEHUNG
102,VERSTAERKTE BREMSEN
103,GANZJAHRE REIFEN
104,NAHOST-VERSION
105,AUFTRAGSSTEUERUNG BUND
106,SECURITY
107,VORBEREITUNG FAHRTENSCHREIBER
108,MOTORWEITERLAUFSCHALTUNG
109,SECURITY PLUS
110,VORBEREITUNG MONTAGE NOTARZTSCHILD
111,HIGH SECURITY
112,BEKLEBUNG LEUCHTROT RAL3024
113,BEKL. POLIZEI BAYERN MINZGR. HELL
114,BEKLEBUNG POLIZEI (MINZGRUEN)
115,BEKLEBUNG NOTARZT NRW
116,STANDARTENHALTER LINKS
117,STANDARTENHALTER RECHTS
118,REDUZIERUNG HOECHSTGESCHWINDIGKEIT
119,ELEKTRIK ZUSATZMODUL
120,BASISAUSSTATTUNG
121,HALTERUNG ANHALTEKELLE
122,HALTERUNG EINSATZSTOECKE
123,ZUSATZ-INNENSPIEGEL
124,BEHOERDENDACHHIMMEL
125,BEHOERDENINNENAUSSTATTUNG OFFEN
126,BEHOERDENINNENAUSSTATTUNG GETARNT
127,WAFFENHALTERUNG AN BEIFAHRERTUER
129,WAFFENHALTERUNG IM DACH VORN
130,WAFFENKASTEN
131,WAFFENHALTERUNG
138,VORBEREITUNG EINSATZFAHRZEUG
139,RUNDUMKENNLEUCHTE BLAU
13A,BELADUNG POLIZEI OFFEN
140,"1RKLE 130,TONFOLGE,POLIZEISCHALTUNG"
141,TONFOLGESIGNALANLAGE
142,RUNDUMKENNLEUCHTEN BLAU
143,ALARMSCHALTER M.POLIZEISCHALTUNG
144,RKA I ABNEHMB.TONF.POLIZEISCH.
145,BEDIEN. WARNANL.M.FEUERWEHRSCHALT.
146,ZUSAETZLICHE ENERGIEVERSORGUNG
147,RUNDUMKENNLEUCHTE ABNEHMBAR
148,IDRIVE-BEDIENUNG SONDERSIGNALANLAGE
149,DOPPELBLITZLEUCHTE ABNEHMBAR
150,VB MONTAGE RTK-4 FUER HANDAPPARAT
151,SONDERSIGNALANLAGE HELLA RTK-6
152,SONDERSIGNALANLAGE VAMA
153,DACHAUFSATZ OHNE SONDERSIGNALANLAGE
155,MONTAGE ANGELIEFERTER TOP-4
159,MONTAGE AERO-DYNIC-ANLAGE
160,MONTAGE BECKER SIGNALANLAGE LU 322
161,ABGASNORM EU5
162,VORBEREITUN FUER MONTAGE MARTINHORN
163,BMW DIESEL MIT BLUE PERFORMANCE
165,DEAKTIVIERUNG ITS
166,VB MONTAGE ANHALTESIGNAL HUTABLAGE
167,ABGASNORM EU4
168,ABGASNORM EU2
169,ABGASNORM EU3
170,VORBEREITUNG EINBAU AEG TELEDUX
171,VB EINBAU FUG ASCOM
172,ANPASSUNG ETHANOLHALTIGER KRAFTSTOF
173,VB FUG 7B/8B/9C KPL.HANDSCHUHKASTEN
174,VORB. FUG 8B/9C KPL. HANDSCH.
175,VORB. FUG 8B U. 9C
176,VORB. FUG 8B/9C ABGESETZT
178,HALTERUNG FUER HANDFUNKGERAETE
179,REIZGASSENSOREN
180,DACHANTENNE
181,MONTAGE HECKANTENNE
182,FEUERLOESCHANLAGE
183,VORBEREITUNG FUER AKT.VERTEIDUNG
184,NOTAUSSTIEG UEBER FRONTSCHEIBE
185,EINSATZFAHRZEUG OFFEN
186,EINSATZFAHRZEUG GETARNT
187,BODENSCHUTZ
188,"TUERSCHEIBE ABSENKBAR, VORNE LI + RE"
189,"TUERSCHEIBE ABSENKBAR, VO + HI"
190,WECHSELSPRECHANLAGE
191,"TUERSCHEIBE ABSENKBAR, VORNE RECHTS"
192,"TUERSCHEIBE ABSENKBAR, VORNE LINKS"
193,ENTFALL BEHEIZ. FRONT-SEITENSCHEIBE
194,FERNSTARTANLAGE
195,ZUSAETZLICHE BODENPANZERUNG
196,KRAFTSTOFFTANK AUSLAUFHEMMEND
197,AKUSTISCHE UND OPTISCHE ALARMANLAGE
198,ZUSAETZLICHE FRISCHLUFTANLAGE
199,AUSSTATTUNG BLEIHALTIGER KRAFTSTOFF
1A1,AUSST.F.KRAFTST.M.VERKOK.NEIGUNG
1AA,55 KW MOTORVARIANTE
1AE,FLEXIBLE FUEL
1AF,VERGROESSERTES KRAFTSTOFFEINFUELLRO
1AG,GROESSERER KRAFTSTOFFTANK
1AK,AUSSENLIEGENDER KRAFTSTOFFFILTER
1CA,SELEKTION COP RELEVANTER FAHRZEUGE
1CB,CO2 UMFANG
1CC,AUTO START STOP FUNKTION
1CD,BRAKE ENERGY REGENERATION
1MA,SPORTABGASANLAGE
200,DIESELPARTIKELFILTER
201,RAPSMETHYLESTER-AUSFUEHRUNG (RME)
202,STEPTRONIC
203,ALLRADSYSTEM
204,ANTRIEBSAUSLEGUNG EXPORT
205,AUTOMATIC GETRIEBE
206,SEQUENZIELLES MANUELLES GETRIEBE
207,6-GANG-SCHALTGETRIEBE
208,ENTFALL DSCIII
209,SPERRDIFFERENTIAL 25%
210,DYNAMISCHE STAB. CONTROL (DSC)
211,DYNAMISCHE-STABILITAETS-CONTROL DSC
212,AUSSTATTUNG BREMSANLAGE LAENDER
213,HILL DESCENT CONTROL (HDC)
214,AUT.STABIL.-CONTROL+TRACTION(ASC+T)
215,"SERVOLENKUNG, DREHZAHLABHAENGIG"
216,SERVOTRONIC
217,AKTIVLENKUNG
218,SPORT-LEDERLENKRAD II
219,SPORTLEDERLENKRAD
21A,"18""M LM RAEDER  DOPPELSP. 461 M FER"
21B,"18""M LM RAED.  DO.SP.441 M FERRICGR"
21C,"19""M LM R.DO.SP.BICOLOR ORBITGRAU M"
21D,"18""M LM RAED.DO.SPEICHE 570 BICOLOR"
21E,"19""M LM RAED.DO.SPEICHE 572 BICOLOR"
21F,"19""M LM RAED.DO.SPEI. 647 BICOL./MB"
21G,"19""M LM RAED.DO.SPEI. 647 BICOLOR"
21H,"20""M LM RAED.DO.SPEI. 648 BICOL./MB"
21L,"18""M LM RA. DO.SP. 461 M FER.SPORTR"
21N,"18""M LM RAED.DO.SPEI. 662 M/MB"
21P,"19""M LM RAED.DO.SPEI. 664 M/MB"
21R,"19""M LM RAED.DO.SPEI. 664 M/MB SCHW"
21T,"20""M LM RAED.ST.SPEI. 666 M/GE. MB"
21U,18''M LM RAED.DO.SP.436M/MB ORBITGR
21V,18''M LM RAED.DO.SP.436M ORBITGRAU
21W,"19""M LM RAED.DO.SPEI. 704M /MB"
21X,"18""M LM RAED.DO.SPEI. 662 M"
21Y,"20""M LM RAED.DO.SPEI. 703M BI./MB U"
21Z,"20""M LM RAED.DO.SPEI. 703M BI./MB"
220,NIVEAUREGULIERUNG
221,2 ACHS NIVEAUREGULIERUNG
222,ELEKTRONISCHE-DAEMPFER-CONTROL(EDC)
223,ELEKTRONISCHE DAEMPFER CONTROL(EDC)
224,FAHRDYNAMIK CONTROL
225,SERIENFAHRWERK
226,SPORTLICHE FAHRWERKSABSTIMMUNG
227,SPORTL.FAHRW. MIT NIVEAUREGULIERUNG
228,SPORTLICHE FAHRWERKSABSTIMMUNG PLUS
229,DYNAMIC DRIVE
22A,"19""M LM RAED.DO.SPEI. 705 M /MB"
22B,
22C,"19"" M-LM RD.  DP.-SP, 664 M CERIUMG"
22D,"19"" M-LM   DP.-SP, 664 M CER-GR  MB"
22E,"20"" M-LM   DP.-SP, 668 M MB/SPORT.R"
22F,"19"" M-LM   DOPPEL-SP  664 M MB"
22M,"20""M LM RAED.DO.SPEI. 760M MB/NOTLA"
22N,"20""M LM RAED.DO.SPEI. 760M MB"
230,EU SPEZIFISCHE ZUSATZUMFAENGE
231,AUFHEBUNG VMAX-ABREGELUNG
232,LM RAEDER/RADIALSPEICHE 50
233,ERHOEHTE ANHAENGELAST
234,ANHAENGERKUPPLUNG HOEHENVERSTELLBAR
235,"ANHAENGERKUPPLUNG, KOPF ABNEHMBAR"
236,LM RAEDER MIT MISCHBEREIFUNG
238,LM RAEDER/ DOPPELSPEICHE 93
239,LM RAEDER/ VIELSPEICHE 94
23A,"16""LM RAEDER V-SPEICHE 656"
23C,"18""LM RAEDER V-SPEICHE 658/MB"
23D,"17""LM RAEDER V-SPEICHE 412 BICOLOR"
23E,"17""LM RAEDER V-SPEICHE 560"
23F,"17""LM RAEDER V-SPEICHE 618"
23G,"18""LM RAEDER V-SPEICHE 642 M.NOTLAU"
23H,"18""LM RAEDER V-SPEICHE 642"
23K,"19""LM RAEDER V-SPEICHE 620/MB U.NOT"
23L,"19""LM RAEDER V-SPEICHE 620"
23M,"17""LM RAEDER V-SPEICHE  683"
23N,"18""LM RA.V-SPEI. 398 M.SP.R /MB, SC"
23P,"18""LM RAED.V-SPEI. 398 M.SP.R /MB"
23R,"18""LM RAEDER V-SPEICHE 658"
23T,"17""LM RAEDER V-SPEICHE 618 NOTL."
23U,"17""LM RAEDER V-SPEICHE 631"
23V,"17""LM RAEDER V-SPEICHE 631 NOTL."
23W,"18""LM RAEDER V-SPEICHE 684"
23X,"18""LM RAEDER V-SPEICHE 684 NOTL."
29F,"19""LM RAEDER VIEL-SPEICHE 633"
29G,"19""LM RAEDER VIEL-SPEICHE 633/MB/NL"
29H,"19""LM RAEDER VIEL-SPEICHE 633 NOTL"
2A0,18LM RAEDER DOPPELSPEICHE 385
2A1,19LM RAEDER DOPPELSPEICHE 309
2A2,18LM RAEDER DOPPELSPEICHE 421
2A3,19LM RAEDER DOPPELSPEICHE 424
2A4,19LM RAEDER DOPPELSPEICHE 401/MB
2A5,18LM RAEDER DOPPELSPEICHE 397
2A6,17LM RAEDER DOPPELSPEICHE 392
2A7,18LM RAEDER DOPPELSPEICHE 385/ MB
2A8,19M LM RAEDER DOPPELSPEICHE 369 M
2A9,18LM RAEDER DOPPELSPEICHE 313/ MB
2AA,LM RAEDER ELLIPSOIDSTYLING 46
2AB,LM RAEDER/ELLIPSOIDSP.162/MISCHB.
2AC,LM RAEDER ELLIPSOIDSTYLING 109
2AD,LM RAEDER ELLIPSOIDSP. 202 MISCHB.
2AE,LM RAEDER TURBINENSTYLING 292/MB
2AF,LM  RAEDER TURBINENSTYLING 271
2AG,LM RAEDER WABENSTYLING 323/MB
2AH,LM RAEDER TURBINENSTY.329/MB
