Spurcode,Beschreibung
02,F07_AWD
03,F07_RWD_T
09,F87_RWD_S
10,F22_23M_RWD_S
11,F22_23M_AWD_S
12,F22_23_AWD_T
14,F22_23_RWD_S
15,F22_23_RWD_T
16,F22_23_AWD_S
17,F22_23_RWD_S_J
18,F22_23_RWD_T_J
1A,F32_RWD_ALPINA
1B,F32_AWD_ALPINA
1C,F31_RWD_ALPINA
22,I01S_RWD_S
23,I01_RWD_S
24,I01_RWD_S_J
25,F25
26,F26
27,F26 MPA
2A,F82_KOREA
2B,F82
2C,F32_RWD_LCI
2D,F32_RWD_J_LCI
34,I12_AWD_S
44,F45_FWD_AWD_S
45,F45_FWD_AWD_T
47,F85
48,F45HYB_FWD_S
49,F86
50,F15 18-19 Stahl
51,F15 20 Stahl
52,F15 18-19 Luft
53,F15 20 Luft
54,F16 19 Stahl
55,F16 20 Stahl
56,F16 19 Luft
57,F16 20 Luft
5A,F06_M
5B,F06_RWD
5C,F06_AWD
5D,F12_M
5E,F13_M
5F,F12_AWD
5G,F12_F13_M_J
5H,F12_F13_RWD_ALPINA
5K,F12_RWD
5L,F13_RWD
5M,F13_AWD
5N,F06_M_J
5P,F06_AWD_ALPINA
60,RR4
61,RR4L
62,RR5
63,RR6
65,F20_RWD_S_J
66,F20_RWD_T_J
67,F20_AWD_S_J
68,RR1L
69,RR2_RR3
6A,F11_RWD
6B,F11_RWD_T
6C,F11_AWD
6D,F11_AWD_T
6E,F11_ALPINA
6K,F07_AWD_T
70,F20_RWD_S
71,F20_RWD_T
72,F20_AWD_S
73,F20_AWD_T
74,F20M_RWD_S
75,F20M_AWD_S
78,F36_RWD_LCI
79,F36_RWD_J_LCI
80,F30_F31_RWD
81,F30_F31_SPORT
82,F30_F31_SCHLECHTWEGE
83,F30_F31_AWD
84,F30_RWD_ALPINA
85,F30_F31_AWD_ALPINA
86,F30_F31_RWD_JAPAN
87,F30_F31_SPORT_JAPAN
88,F30_F31_AWD_JAPAN
89,F32_RWD
92,F32_AWD
93,F32_RWD_JAPAN
95,F32_AWD_JAPAN
99,RFG_Goodwood (DUERR)
A0,RFG_W1_Muenchen
AA,G01_RWD
AB,G01_AWD
AC,G01_MPA
AK,G05_Stahl_Stahl
AL,G05_Luft_Luft
AP,G07
B0,RFG_W2_Dingolfing
CA,G11_RWD
CB,G11_AWD
CC,G11_RWD_PHEV
CP,G14_RWD
CQ,G14_AWD
CR,G15_RWD
CS,G15_AWD
DA,G12_RWD
DB,G12_AWD
DC,G12_RWD_PHEV
DD,G12_RWD_ALPINA
DE,G12_AWD_ALPINA
EA,G30_RWD
EB,G30_AWD
EC,G30_RWD_PHEV
ED,G30_AWD_PHEV
EE,G30_RWD_T
EF,G30_AWD_T
EG,F90
EK,G30_RWD_SW
EL,G31_RWD
EM,G31_RWD_T
EP,G32_RWD_Stahl_Luft
EQ,G32_RWD_Luft_Luft
ET,G38_RWD_Stahl_Stahl
EU,G38_AWD_Stahl_Stahl
F0,RFG_W10_Spartanburg
FA,G30_RWD_H52
FB,G30_AWD_H52
FE,G30_RWD_T_H52
FF,G30_AWD_T_H52
FG,G30_RWD_SW_H52
FL,G31_AWD
FM,G31_AWD_T
FP,G32_AWD_Stahl_Luft
FQ,G32_AWD_Luft_Luft
FT,G38_RWD_Stahl_Luft
FU,G38_AWD_Stahl_Luft
G0,RFG_W7
GA,I01_SC_GA_RWD_S_J
k,F07_RWD
KD,G20_RWD
KK,F34_RWD
KL,F34_AWD_T
KN,F36_RWD
LD,G20_AWD
LK,F34_RWD_T
LM,F34_AWD_J
LN,F36_AWD
ML,F34_RWD_J
MM,F34_AWD_T_J
MN,F36_RWD_J
N9,G29
NK,F34_AWD
NL,F34_RWD_T_J
NN,F36_AWD_J
PA,F55
PB,F56
RA,Kalibrierrahmen
UA,F39_FWD_AWD
XB,RR12
XX,F20M_RWD_S
YX,I15_AWD_S
ZX,F20M_AWD_S
ZZ,Kalibrator
